Id	Desc	Name	IsUpgrade	MaxLevel	UnlockLevel
INT	STRING	STRING	INT	INT	INT
#MAX_ID=99999;MAX_RECORD=1024;TableType=Hash;					
#ID	程序不读	名称	是否可升级	最大等级	解锁所需城堡等级(0表示初始已解锁)
1		城堡	1	30	0
2		城墙	1	30	0
3		仓库	1	30	0
4		战利品仓库	1	30	0
5	采石场1	采石场	1	30	0
6	采石场2	采石场	1	30	2
7	采石场3	采石场	1	30	4
8	采石场4	采石场	1	30	6
9	采石场5	采石场	1	30	8
10	采石场6	采石场	1	30	10
11	农田1	农田	1	30	0
12	农田2	农田	1	30	2
13	农田3	农田	1	30	4
14	农田4	农田	1	30	6
15	农田5	农田	1	30	8
16	农田6	农田	1	30	10
17	铁矿1	铁矿	1	30	0
18	铁矿2	铁矿	1	30	2
19	铁矿3	铁矿	1	30	4
20	铁矿4	铁矿	1	30	6
21	铁矿5	铁矿	1	30	8
22	铁矿6	铁矿	1	30	10
23	民居1	民居	1	30	0
24	民居2	民居	1	30	2
25	民居3	民居	1	30	4
26	民居4	民居	1	30	6
27	民居5	民居	1	30	8
28	民居6	民居	1	30	10
29	兵营1	兵营Ⅰ	1	30	0
30	兵营2	兵营Ⅱ	1	30	3
31	兵营3	兵营Ⅲ	1	30	6
32	兵营4	兵营Ⅳ	1	30	9
33		酒馆	1	30	7
34		训练场	1	30	0
35		铁匠铺	0	0	3
36		教堂	1	30	0
37		贸易中心	1	30	7
38		学院	1	30	0
39		使馆	1	30	5
40	装饰建筑1	装饰1	0	0	10
41	装饰建筑2	装饰2	0	0	10
42	装饰建筑3	装饰3	0	0	10
43	装饰建筑4	装饰4	0	0	10
44	装饰建筑5	装饰5	0	0	10
45	装饰建筑6	装饰6	0	0	10
46	装饰建筑7	装饰7	0	0	10
47	装饰建筑8	装饰8	0	0	10
48	装饰建筑9	装饰9	0	0	10
49	装饰建筑10	装饰10	0	0	10
50	装饰建筑11	装饰11	0	0	10
51	装饰建筑12	装饰12	0	0	10
52	装饰建筑13	装饰13	0	0	10
53	装饰建筑14	装饰14	0	0	10
54	装饰建筑15	装饰15	0	0	10
55	装饰建筑16	装饰16	0	0	10
56	装饰建筑17	装饰17	0	0	10
57	装饰建筑18	装饰18	0	0	10
58	装饰建筑19	装饰19	0	0	10
59	装饰建筑20	装饰20	0	0	10
