Id	Desc	BuildingType	Name	Level	Description	Icon	Res	Prosperity	NeedBuilding1	NeedBuilding2	NeedBuilding3	NeedProsperity	NeedTime	NeedStone	NeedGold	NeedIron	NeedFood
INT	STRING	INT	STRING	INT	STRING	STRING	STRING	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT
#MAX_ID=99999;MAX_RECORD=1024;TableType=Hash;																	
#ID	程序不读	建筑物类型(CityBuildingDefault-Id)	名称	等级	描述	图标	模型资源	提供繁荣度	前置建筑物Id列表1	前置建筑物Id列表2	前置建筑物Id列表3	所需繁荣度（升到当级）	所需时间(s）	所需石料	所需金币	所需铁矿	所需粮食
1		1	城堡	1	城堡很重要，升级全靠它	res\InGame\GUI\	\res\InGame\Models	1	0	0	0	0	0	0	0	0	0
2		1	城堡	2	城堡很重要，升级全靠它			2	32	0	0	0	300	1000	1000	0	0
3		1	城堡	3	城堡很重要，升级全靠它			3	33	0	0	0	900	1000	1000	0	0
4		1	城堡	4	城堡很重要，升级全靠它			4	34	0	0	0	2700	1000	1000	0	0
5		1	城堡	5	城堡很重要，升级全靠它			5	35	0	0	0	1860	1000	1000	0	0
6		1	城堡	6	城堡很重要，升级全靠它			6	36	0	0	0	240	1000	1000	0	0
7		1	城堡	7	城堡很重要，升级全靠它			7	37	0	0	0	360	1000	1000	0	0
8		1	城堡	8	城堡很重要，升级全靠它			8	38	0	0	136	540	1000	1000	0	0
9		1	城堡	9	城堡很重要，升级全靠它			9	39	0	0	166	720	1000	1000	0	0
10		1	城堡	10	城堡很重要，升级全靠它			10	40	0	0	200	1020	1000	1000	0	0
11		1	城堡	11	城堡很重要，升级全靠它			11	41	0	0	234	1320	1000	1000	0	0
12		1	城堡	12	城堡很重要，升级全靠它			12	42	0	0	272	300	1000	1000	0	0
13		1	城堡	13	城堡很重要，升级全靠它			13	43	0	0	310	660	1000	1000	0	0
14		1	城堡	14	城堡很重要，升级全靠它			14	44	0	0	348	1260	1000	1000	0	0
15		1	城堡	15	城堡很重要，升级全靠它			15	45	0	0	386	480	1000	1000	0	0
16		1	城堡	16	城堡很重要，升级全靠它			16	46	0	0	424	1140	1000	1000	0	0
17		1	城堡	17	城堡很重要，升级全靠它			17	47	0	0	462	540	1000	1000	0	0
18		1	城堡	18	城堡很重要，升级全靠它			18	48	0	0	500	240	1000	1000	0	0
19		1	城堡	19	城堡很重要，升级全靠它			19	49	0	0	538	960	1000	1000	0	0
20		1	城堡	20	城堡很重要，升级全靠它			20	50	0	0	576	660	1000	1000	0	0
21		1	城堡	21	城堡很重要，升级全靠它			21	51	0	0	614	360	1000	1000	0	0
22		1	城堡	22	城堡很重要，升级全靠它			22	52	0	0	652	420	1000	1000	0	0
23		1	城堡	23	城堡很重要，升级全靠它			23	53	0	0	690	480	1000	1000	0	0
24		1	城堡	24	城堡很重要，升级全靠它			24	54	0	0	728	540	1000	1000	0	0
25		1	城堡	25	城堡很重要，升级全靠它			25	55	0	0	766	840	1000	1000	0	0
26		1	城堡	26	城堡很重要，升级全靠它			26	56	0	0	804	1260	1000	1000	0	0
27		1	城堡	27	城堡很重要，升级全靠它			27	57	0	0	842	1800	1000	1000	0	0
28		1	城堡	28	城堡很重要，升级全靠它			28	58	0	0	880	1140	1000	1000	0	0
29		1	城堡	29	城堡很重要，升级全靠它			29	59	0	0	918	1980	1000	1000	0	0
30		1	城堡	30	城堡很重要，升级全靠它			30	60	0	0	956	1620	1000	1000	0	0
31		2	城墙	1	城墙跟着城堡升级喽			1	0	0	0	0	0	1000	1000	0	0
32		2	城墙	2	城墙跟着城堡升级喽			2	1	0	0	0	300	1000	1000	0	0
33		2	城墙	3	城墙跟着城堡升级喽			3	2	0	0	0	900	1000	1000	0	0
34		2	城墙	4	城墙跟着城堡升级喽			4	3	0	0	0	2700	1000	1000	0	0
35		2	城墙	5	城墙跟着城堡升级喽			5	4	0	0	0	1860	1000	1000	0	0
36		2	城墙	6	城墙跟着城堡升级喽			6	5	0	0	0	240	1000	1000	0	0
37		2	城墙	7	城墙跟着城堡升级喽			7	6	0	0	0	360	1000	1000	0	0
38		2	城墙	8	城墙跟着城堡升级喽			8	7	0	0	0	540	1000	1000	0	0
39		2	城墙	9	城墙跟着城堡升级喽			9	8	0	0	0	720	1000	1000	0	0
40		2	城墙	10	城墙跟着城堡升级喽			10	9	0	0	0	1020	1000	1000	0	0
41		2	城墙	11	城墙跟着城堡升级喽			11	10	0	0	0	1320	1000	1000	0	0
42		2	城墙	12	城墙跟着城堡升级喽			12	11	0	0	0	300	1000	1000	0	0
43		2	城墙	13	城墙跟着城堡升级喽			13	12	0	0	0	660	1000	1000	0	0
44		2	城墙	14	城墙跟着城堡升级喽			14	13	0	0	0	1260	1000	1000	0	0
45		2	城墙	15	城墙跟着城堡升级喽			15	14	0	0	0	480	1000	1000	0	0
46		2	城墙	16	城墙跟着城堡升级喽			16	15	0	0	0	1140	1000	1000	0	0
47		2	城墙	17	城墙跟着城堡升级喽			17	16	0	0	0	540	1000	1000	0	0
48		2	城墙	18	城墙跟着城堡升级喽			18	17	0	0	0	240	1000	1000	0	0
49		2	城墙	19	城墙跟着城堡升级喽			19	18	0	0	0	960	1000	1000	0	0
50		2	城墙	20	城墙跟着城堡升级喽			20	19	0	0	0	660	1000	1000	0	0
51		2	城墙	21	城墙跟着城堡升级喽			21	20	0	0	0	360	1000	1000	0	0
52		2	城墙	22	城墙跟着城堡升级喽			22	21	0	0	0	420	1000	1000	0	0
